prod_id;users;prod_name_long;prod_brand;tags; prod_unit_price ;rating
1;9027;Limpia tapicería en espuma Binner x 400ml;BINNER;Alfombras;15.590;0
2;7201;Limpia tapicería y alfombras Binner x 500ml;BINNER;Alfombras;13.993;5
3;6317;Limpiador Dr. Beckmann alfombras 2en1 poder oxi x 650 ml;DR.BECKMANN;Alfombras;16.513;2
4;186;Aceite Bon Aire eléctrico perfume flores x 25 ml;BONAIRE;Ambientadores;14.990;4
5;5229;Ambientador Aire Varitas Bambú Bonaire 2 Repuestos x 80ml c-u;BONAIRE;Ambientadores;34.990;8
6;6070;Ambientador Auto Spray Carro Nuevo Bonaire x 25ml;BONAIRE;Ambientadores;8.190;0
7;8390;Ambientador Bon Aire electra oíl vainilla x 25ml;BONAIRE;Ambientadores;14.390;9
8;2494;Ambientador Bon Aire toque único fantasía floral x 14ml + dosificador;BONAIRE;Ambientadores;7.273;2
9;1381;Ambientador Bonaire concentrado tropical breeze x 60 ml;BON AIRE;Ambientadores;7.790;3
10;384;Ambientador Bonaire fantasía floral + repuesto x 250 ml;BONAIRE;Ambientadores;28.990;0
11;4957;Ambientador Bonaire frutos rojos x 2 und x 25 ml c-u;BON AIRE;Ambientadores;15.990;4
12;1819;Ambientador Bonaire vainilla fresa x 2 und x 25 ml c-u;BON AIRE;Ambientadores;15.990;10
13;2069;Ambientador Bonaire vainilla seducción + repuesto x 250 ml;BONAIRE;Ambientadores;28.990;10
14;1537;Ambientador Bonaire Varitas Frutos Rojosx80mlx2Und;BONAIRE;Ambientadores;34.990;0
15;5978;Ambientador Bonaire Varitas Vainilla X 80ml X 2Und;BONAIRE;Ambientadores;34.990;10
16;7648;Ambientador Brize manzana verde citica frutal bosque aerosol x 3 und x 360 ml Precio Especial;BRIZZE;Ambientadores;16.513;2
17;1369;Ambientador Brizze frutos bosque palitos x 2 und x 60 ml c-u;BRIZZE;Ambientadores;14.693;2
18;374;Ambientador brizze frutos bosque palitos x 3unds x 60ml;BRIZZE;Ambientadores;20.993;4
19;4179;Ambientador Brizze palitos de rattan vainilla x 60 ml;BRIZZE;Ambientadores;10.493;5
20;4396;Ambientador Brizze pasión tropical Palitos x 2 und x 60 ml c-u;BRIZZE;Ambientadores;18.193;9
21;1236;Ambientador delicias vailla pltos Brizze x 3 und x 60 ml c-u;BRIZZE;Ambientadores;24.493;10
22;1244;Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml;GLADE;Ambientadores;10.073;1
23;3542;Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml;GLADE;Ambientadores;10.073;0
24;5687;Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g;GLADE;Ambientadores;1.883;0
25;3906;Ambientador glade abrazos vainilla líquido repuesto x 3und x 63ml;GLADE;Ambientadores;14.693;8
26;9579;Ambientador Glade aceites naturales y alegría floral repuesto x 21 ml + dispensador;GLADE;Ambientadores;10.073;4
27;3775;Ambientador Glade alegría floral líquido repuesto x 3 und x 63 ml;GLADE;Ambientadores;15.113;7
28;5302;Ambientador Glade automático precio especial x 2 unds;GLADE;Ambientadores;23.093;5
29;3481;Ambientador Glade surtido aerosol x 3unds x 400ml c-u;GLADE;Ambientadores;20.490;2
30;1904;Ambientador Glade toque manzana+ repuestox 2 und x 9 g c-u;GLADE;Ambientadores;12.313;1
31;2168;Ambientador Spray Frescura Ambiental Baby Fresh Bonaire x 400ml;BONAIRE;Ambientadores;10.990;9
32;6433;Ambientador Spray Frescura Ambiental Canela Bonaire x 400ml;BONAIRE;Ambientadores;9.190;9
33;6383;Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire x 400ml;BONAIRE;Ambientadores;10.390;8
34;7790;Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und x 400ml;BONAIRE;Ambientadores;21.990;1
35;7989;Ambientador Varitas Frescura Citronela Bonaire x 80ml;BONAIRE;Ambientadores;18.990;10
36;8043;Ambientador Varitas Frescura Frutos Rojos Bonaire x 80ml;BONAIRE;Ambientadores;18.990;9
37;6278;Ambientador Varitas Frescura Lavanda Manzanilla Bonaire x 80ml;BONAIRE;Ambientadores;18.990;4
38;9906;Ambientador Varitas Frescura Pomelo Bonaire x 80ml;BONAIRE;Ambientadores;18.990;4
39;5156;Ambientador Varitas Frescura Vainilla Bonaire x 80ml;BONAIRE;Ambientadores;18.990;6
40;5515;Aromatizante Air Wick Pure aerosol floral magnolia x 250ml;AIR WICK;Ambientadores;6.573;9
41;8979;Aromatizante Air Wick Pure aerosol fresco x 250 ml;AIR WICK;Ambientadores;6.573;0
42;731;Aromatizante Air Wick Pure Flor magnolia aparato + repuesto x 20ml;AIR WICK;Ambientadores;10.913;7
43;406;Aromatizante Air Wick pure flores de magnolia x 2und x 250 ml precio especial;AIR WICK;Ambientadores;20.993;2
44;9204;Aromatizante Air Wick Pure repuesto suavidad x 250 ml - Aromatizante Air Wick Pure repuesto suavidad x250 ml;AIR WICK;Ambientadores;13.713;1
45;9485;Aromatizante Air Wick pure repuesto suavidad algodón x 2und x 250 ml precio especial;AIR WICK;Ambientadores;20.993;10
46;1606;Aromatizante Air Wick Pure suave aparato + repuesto x 20ml;AIR WICK;Ambientadores;10.913;9
47;8272;Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade 1 Aparato + 1 Repuesto x 270ml;GLADE;Ambientadores;22.393;3
48;4896;Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade x 400ml;GLADE;Ambientadores;6.433;3
49;8626;Aromatizante De Ambiente En Aerosol Manzana y Canela Rociado Fácil Glade x 400ml;GLADE;Ambientadores;6.013;5
50;255;Aromatizante De Ambiente En Aerosol Paraiso Azul Rociado Fácil Glade x 400ml;GLADE;Ambientadores;6.433;0
51;9109;Aromatizante De Ambiente En Atomizador Campos De Lavanda Glade Toque 1 Aparato + 1 Repuesto;GLADE;Ambientadores;9.190;0
52;9019;Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 1 Aparato + 1 Repuesto;GLADE;Ambientadores;8.990;4
53;346;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust x 400ml;GLADE;Ambientadores;9.093;0
54;5248;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Frescura Camprestre Glade Oust x 400ml;GLADE;Ambientadores;9.093;3
55;9811;Aromatizante Glade  campos de lavanda gel x170g;GLADE;Ambientadores;3.633;2
56;2449;Aromatizante Glade 5en1 alegría floral frutos rojos aerosol x 400ml;GLADE;Ambientadores;6.433;3
57;563;Aromatizante Glade aceites rit. ambiente liquido repuesto x 3und x 21ml cada uno edición limitada;GLADE;Ambientadores;17.590;6
58;3903;Aromatizante Glade actes pop fruta liquido repuesto x 3und x 21ml cada uno edición limitada;GLADE;Ambientadores;17.590;4
59;5080;Aromatizante Glade actes pop fruta liquido repuesto x 21ml + aparato edición limitada;GLADE;Ambientadores;14.990;7
60;4144;Aromatizante Glade aerosol x 2 und x 400 ml c-u;GLADE;Ambientadores;11.613;10
61;7814;Aromatizante Glade alegría floral frutos rojos gel x 70g;GLADE;Ambientadores;2.513;4
62;5694;Aromatizante Glade alegría floral gel repuesto x 2 und x 8 g c-u;GLADE;Ambientadores;11.193;6
63;1367;Aromatizante glade auto sport cool air x 7ml;GLADE;Ambientadores;10.913;3
64;5016;Aromatizante Glade Automático alegría floral x 270 ml + repuesto;GLADE;Ambientadores;21.483;4
65;1463;Aromatizante Glade automático alegría floral fruta repuesto x 270ml;GLADE;Ambientadores;19.590;9
66;4804;Aromatizante Glade automático vainilla repuesto x 270ml;GLADE;Ambientadores;13.713;9
67;3988;Aromatizante Glade cono brisa Hawaiana gel x 170g;GLADE;Ambientadores;3.633;7
68;5615;Aromatizante Glade electric car aparato + repuesto x 3.2 ml;GLADE;Ambientadores;14.413;5
69;3703;Aromatizanté Glade elegant car aparato + repuesto x 3.2ml;GLADE;Ambientadores;14.413;4
70;6133;Aromatizante Glade lavanda gel x 70 g;GLADE;Ambientadores;2.513;8
71;7092;Aromatizante Glade manzana canela gel x 170g;GLADE;Ambientadores;3.633;10
72;5681;Aromatizante Glade pop frutal aerosol x 400ml edición limitada;GLADE;Ambientadores;9.190;8
73;4332;Aromatizante Glade ritmos ámbar aerosol x 400ml edición limitada;GLADE;Ambientadores;9.190;6
74;5379;Aromatizante Glade vainilla gel repuesto x 2 und x 8 g c-u;GLADE;Ambientadores;11.193;9
75;2848;Aromatizante Glade velas alegría floral frutos rojos x 96g;GLADE;Ambientadores;11.193;9
76;9314;Aromatizante Glade velas pop frutal x 96g edición limitada;GLADE;Ambientadores;15.990;4
77;2516;Aromatizante Glade velas ritmos ámbar x 96g edición limitada;GLADE;Ambientadores;15.990;8
